domain,year,gender,variable,value
Applied Sciences,2017,Male,inbreeding3,0.173045822
Applied Sciences,2017,Male,inbreeding4,0.223180593
Applied Sciences,2017,Female,inbreeding1,0.073170732
Applied Sciences,2017,Female,inbreeding2,0.1276901
Applied Sciences,2017,Female,inbreeding3,0.184361549
Applied Sciences,2017,Female,inbreeding4,0.238880918
Applied Sciences,2018,Male,inbreeding1,0.055735931
Applied Sciences,2018,Male,inbreeding2,0.100649351
Applied Sciences,2018,Male,inbreeding3,0.15530303
Applied Sciences,2018,Male,inbreeding4,0.20021645
Applied Sciences,2018,Female,inbreeding1,0.07310149
Applied Sciences,2018,Female,inbreeding2,0.114265436
Applied Sciences,2018,Female,inbreeding3,0.180269695
Applied Sciences,2018,Female,inbreeding4,0.221433641
Applied Sciences,2019,Male,inbreeding1,0.059250978
Applied Sciences,2019,Male,inbreeding2,0.099496926
Applied Sciences,2019,Male,inbreeding3,0.161542761
Applied Sciences,2019,Male,inbreeding4,0.201788709
Applied Sciences,2019,Female,inbreeding1,0.063157895
Applied Sciences,2019,Female,inbreeding2,0.101754386
Applied Sciences,2019,Female,inbreeding3,0.17754386
Applied Sciences,2019,Female,inbreeding4,0.216140351
Applied Sciences,2020,Male,inbreeding1,0.067314365
Applied Sciences,2020,Male,inbreeding2,0.101318529
Applied Sciences,2020,Male,inbreeding3,0.173490632
Applied Sciences,2020,Male,inbreeding4,0.207494795
Applied Sciences,2020,Female,inbreeding1,0.069128788
Applied Sciences,2020,Female,inbreeding2,0.106060606
Applied Sciences,2020,Female,inbreeding3,0.181818182
Applied Sciences,2020,Female,inbreeding4,0.21875
Applied Sciences,2021,Male,inbreeding1,0.044591247
Applied Sciences,2021,Male,inbreeding2,0.066061107
Applied Sciences,2021,Male,inbreeding3,0.170933113
Applied Sciences,2021,Male,inbreeding4,0.192402973
Applied Sciences,2021,Female,inbreeding1,0.057546145
Applied Sciences,2021,Female,inbreeding2,0.084690554
Applied Sciences,2021,Female,inbreeding3,0.153094463
Applied Sciences,2021,Female,inbreeding4,0.180238871
Applied Sciences,2022,Male,inbreeding1,0.043841336
Applied Sciences,2022,Male,inbreeding2,0.070981211
Applied Sciences,2022,Male,inbreeding3,0.146137787
Applied Sciences,2022,Male,inbreeding4,0.173277662
Applied Sciences,2022,Female,inbreeding1,0.054263566
Applied Sciences,2022,Female,inbreeding2,0.082687339
Applied Sciences,2022,Female,inbreeding3,0.157622739
Applied Sciences,2022,Female,inbreeding4,0.186046512
Education,1975,Male,inbreeding1,0.090909091
Education,1975,Male,inbreeding2,0.090909091
Education,1975,Male,inbreeding3,0.090909091
Education,1975,Male,inbreeding4,0.090909091
Education,1975,Female,inbreeding1,0
Education,1975,Female,inbreeding2,0.25
Education,1975,Female,inbreeding3,0.25
Education,1975,Female,inbreeding4,0.5
Education,1976,Male,inbreeding1,0.076923077
Education,1976,Male,inbreeding2,0.307692308
Education,1976,Male,inbreeding3,0.076923077
Education,1976,Male,inbreeding4,0.307692308
Education,1976,Female,inbreeding1,0
Education,1976,Female,inbreeding2,0
Education,1976,Female,inbreeding3,0.4
Education,1976,Female,inbreeding4,0.4
Education,1977,Male,inbreeding1,0
Education,1977,Male,inbreeding2,0
Education,1977,Male,inbreeding3,0.142857143
Education,1977,Male,inbreeding4,0.142857143
Education,1977,Female,inbreeding1,0
Education,1977,Female,inbreeding2,0
Education,1977,Female,inbreeding3,0
Education,1977,Female,inbreeding4,0
Education,1978,Male,inbreeding1,0
Education,1978,Male,inbreeding2,0.111111111
Education,1978,Male,inbreeding3,0.111111111
Education,1978,Male,inbreeding4,0.222222222
Education,1978,Female,inbreeding1,0.25
Education,1978,Female,inbreeding2,0.5
Education,1978,Female,inbreeding3,0.25
Education,1978,Female,inbreeding4,0.5
Education,1979,Male,inbreeding1,0
Education,1979,Male,inbreeding2,0
Education,1979,Male,inbreeding3,0.125
Education,1979,Male,inbreeding4,0.125
Education,1979,Female,inbreeding1,0.111111111
Education,1979,Female,inbreeding2,0.222222222
Education,1979,Female,inbreeding3,0.111111111
Education,1979,Female,inbreeding4,0.222222222
Education,1980,Male,inbreeding1,0
Education,1980,Male,inbreeding2,0.1
Education,1980,Male,inbreeding3,0.3
Education,1980,Male,inbreeding4,0.4
Education,1980,Female,inbreeding1,0.142857143
Education,1980,Female,inbreeding2,0.285714286
Education,1980,Female,inbreeding3,0.285714286
Education,1980,Female,inbreeding4,0.428571429
Education,1981,Male,inbreeding1,0.111111111
Education,1981,Male,inbreeding2,0.222222222
Education,1981,Male,inbreeding3,0.333333333
Education,1981,Male,inbreeding4,0.444444444
Education,1981,Female,inbreeding1,0
Education,1981,Female,inbreeding2,0.25
Education,1981,Female,inbreeding3,0.375
Education,1981,Female,inbreeding4,0.625
Education,1982,Male,inbreeding1,0.3
Education,1982,Male,inbreeding2,0.3
Education,1982,Male,inbreeding3,0.3
Education,1982,Male,inbreeding4,0.3
Education,1982,Female,inbreeding1,0.181818182
Education,1982,Female,inbreeding2,0.454545455
Education,1982,Female,inbreeding3,0.363636364
Education,1982,Female,inbreeding4,0.636363636
Education,1983,Male,inbreeding1,0.230769231
Education,1983,Male,inbreeding2,0.384615385
Education,1983,Male,inbreeding3,0.384615385
Education,1983,Male,inbreeding4,0.538461538
Education,1983,Female,inbreeding1,0
Education,1983,Female,inbreeding2,0
Education,1983,Female,inbreeding3,0.5
Education,1983,Female,inbreeding4,0.5
Education,1984,Male,inbreeding1,0.2
Education,1984,Male,inbreeding2,0.3
Education,1984,Male,inbreeding3,0.3
Education,1984,Male,inbreeding4,0.4
Education,1984,Female,inbreeding1,0.111111111
Education,1984,Female,inbreeding2,0.333333333
Education,1984,Female,inbreeding3,0.111111111
Education,1984,Female,inbreeding4,0.333333333
Education,1985,Male,inbreeding1,0.117647059
Education,1985,Male,inbreeding2,0.235294118
Education,1985,Male,inbreeding3,0.117647059
Education,1985,Male,inbreeding4,0.235294118
Education,1985,Female,inbreeding1,0.111111111
Education,1985,Female,inbreeding2,0.166666667
Education,1985,Female,inbreeding3,0.333333333
Education,1985,Female,inbreeding4,0.388888889
Education,1986,Male,inbreeding1,0.083333333
Education,1986,Male,inbreeding2,0.416666667
Education,1986,Male,inbreeding3,0.166666667
Education,1986,Male,inbreeding4,0.5
Education,1986,Female,inbreeding1,0.076923077
Education,1986,Female,inbreeding2,0.153846154
Education,1986,Female,inbreeding3,0.153846154
Education,1986,Female,inbreeding4,0.230769231
Education,1987,Male,inbreeding1,0
Education,1987,Male,inbreeding2,0.066666667
Education,1987,Male,inbreeding3,0.066666667
Education,1987,Male,inbreeding4,0.133333333
Education,1987,Female,inbreeding1,0.047619048
Education,1987,Female,inbreeding2,0.238095238
Education,1987,Female,inbreeding3,0.19047619
Education,1987,Female,inbreeding4,0.380952381
Education,1988,Male,inbreeding1,0.071428571
Education,1988,Male,inbreeding2,0.214285714
Education,1988,Male,inbreeding3,0.142857143
Education,1988,Male,inbreeding4,0.285714286
Education,1988,Female,inbreeding1,0.083333333
Education,1988,Female,inbreeding2,0.125
Education,1988,Female,inbreeding3,0.166666667
Education,1988,Female,inbreeding4,0.208333333
Education,1989,Male,inbreeding1,0.129032258
Education,1989,Male,inbreeding2,0.258064516
Education,1989,Male,inbreeding3,0.290322581
Education,1989,Male,inbreeding4,0.419354839
Education,1989,Female,inbreeding1,0.045454545
Education,1989,Female,inbreeding2,0.272727273
Education,1989,Female,inbreeding3,0.136363636
Education,1989,Female,inbreeding4,0.363636364
Education,1990,Male,inbreeding1,0.235294118
Education,1990,Male,inbreeding2,0.352941176
Education,1990,Male,inbreeding3,0.294117647
Education,1990,Male,inbreeding4,0.411764706
Education,1990,Female,inbreeding1,0.153846154
Education,1990,Female,inbreeding2,0.230769231
Education,1990,Female,inbreeding3,0.192307692
Education,1990,Female,inbreeding4,0.269230769
Education,1991,Male,inbreeding1,0.130434783
Education,1991,Male,inbreeding2,0.130434783
Education,1991,Male,inbreeding3,0.304347826
Education,1991,Male,inbreeding4,0.304347826
Education,1991,Female,inbreeding1,0
Education,1991,Female,inbreeding2,0.125
Education,1991,Female,inbreeding3,0.125
Education,1991,Female,inbreeding4,0.25
Education,1992,Male,inbreeding1,0.086956522
Education,1992,Male,inbreeding2,0.304347826
Education,1992,Male,inbreeding3,0.217391304
Education,1992,Male,inbreeding4,0.434782609
Education,1992,Female,inbreeding1,0.041666667
Education,1992,Female,inbreeding2,0.125
Education,1992,Female,inbreeding3,0.166666667
Education,1992,Female,inbreeding4,0.25
Education,1993,Male,inbreeding1,0.153846154
Education,1993,Male,inbreeding2,0.205128205
Education,1993,Male,inbreeding3,0.282051282
Education,1993,Male,inbreeding4,0.333333333
Education,1993,Female,inbreeding1,0.142857143
Education,1993,Female,inbreeding2,0.357142857
Education,1993,Female,inbreeding3,0.214285714
Education,1993,Female,inbreeding4,0.428571429
Education,1994,Male,inbreeding1,0.088235294
Education,1994,Male,inbreeding2,0.176470588
Education,1994,Male,inbreeding3,0.176470588
Education,1994,Male,inbreeding4,0.264705882
Education,1994,Female,inbreeding1,0.066666667
Education,1994,Female,inbreeding2,0.3
Education,1994,Female,inbreeding3,0.2
Education,1994,Female,inbreeding4,0.433333333
Education,1995,Male,inbreeding1,0.073170732
Education,1995,Male,inbreeding2,0.243902439
Education,1995,Male,inbreeding3,0.170731707
Education,1995,Male,inbreeding4,0.341463415
Education,1995,Female,inbreeding1,0.085714286
Education,1995,Female,inbreeding2,0.257142857
Education,1995,Female,inbreeding3,0.114285714
Education,1995,Female,inbreeding4,0.285714286
Education,1996,Male,inbreeding1,0.12244898
Education,1996,Male,inbreeding2,0.204081633
