gender,w_ranking,inbreeding1,inbreeding2,inbreeding3,inbreeding4
Female,294,0.174468085,0.238297872,0.391489362,0.455319149
Male,295,0.215311005,0.306220096,0.358851675,0.449760766
Female,295,0.186746988,0.289156627,0.415662651,0.518072289
Male,297,0.413461538,0.451923077,0.557692308,0.596153846
Female,297,0.387387387,0.432432432,0.54954955,0.594594595
Male,298,0.133333333,0.177777778,0.222222222,0.266666667
Female,298,0.236842105,0.289473684,0.289473684,0.342105263
Male,299,0.029850746,0.059701493,0.208955224,0.23880597
Female,299,0.014925373,0.029850746,0.149253731,0.164179104
Male,300,0.133165829,0.211055276,0.261306533,0.33919598
Female,300,0.125984252,0.188976378,0.267716535,0.330708661
Male,304,0.164383562,0.229452055,0.327054795,0.392123288
Female,304,0.213720317,0.290237467,0.411609499,0.488126649
Male,309,0.029962547,0.059925094,0.134831461,0.164794007
Female,309,0.012658228,0.037974684,0.164556962,0.189873418
Male,311,0.0375,0.08125,0.14375,0.1875
Female,311,0.074074074,0.101851852,0.175925926,0.203703704
Male,313,0.355421687,0.439759036,0.560240964,0.644578313
Female,313,0.490654206,0.537383178,0.635514019,0.682242991
Male,314,0.074688797,0.195020747,0.190871369,0.31120332
Female,314,0.057591623,0.256544503,0.193717277,0.392670157
Male,317,0.066066066,0.111111111,0.195195195,0.24024024
Female,317,0.065,0.115,0.195,0.245
Male,321,0,0.041666667,0.083333333,0.125
Female,321,0.033333333,0.133333333,0.166666667,0.266666667
Male,322,0.01986755,0.066225166,0.105960265,0.152317881
Female,322,0.045454545,0.060606061,0.166666667,0.181818182
Male,324,0.046849758,0.092084006,0.190630048,0.235864297
Female,324,0.108585859,0.143939394,0.255050505,0.29040404
Male,328,0.031055901,0.049689441,0.186335404,0.204968944
Female,328,0.027777778,0.097222222,0.166666667,0.236111111
Male,329,0.078947368,0.184210526,0.302631579,0.407894737
Female,329,0.166666667,0.277777778,0.416666667,0.527777778
Male,330,0.126666667,0.18,0.306666667,0.36
