country_w,year,gender,variable,value
AU,2011,Female,mean_inbreeding5,0.670157068
AU,2012,Male,mean_inbreeding1,0.109324759
AU,2012,Male,mean_inbreeding2,0.1414791
AU,2012,Male,mean_inbreeding3,0.289389068
AU,2012,Male,mean_inbreeding4,0.321543408
AU,2012,Male,mean_inbreeding5,0.678456592
AU,2012,Female,mean_inbreeding1,0.112820513
AU,2012,Female,mean_inbreeding2,0.148717949
AU,2012,Female,mean_inbreeding3,0.251282051
AU,2012,Female,mean_inbreeding4,0.287179487
AU,2012,Female,mean_inbreeding5,0.712820513
AU,2013,Male,mean_inbreeding1,0.157099698
AU,2013,Male,mean_inbreeding2,0.181268882
AU,2013,Male,mean_inbreeding3,0.329305136
AU,2013,Male,mean_inbreeding4,0.35347432
AU,2013,Male,mean_inbreeding5,0.64652568
AU,2013,Female,mean_inbreeding1,0.148514851
AU,2013,Female,mean_inbreeding2,0.188118812
AU,2013,Female,mean_inbreeding3,0.371287129
AU,2013,Female,mean_inbreeding4,0.410891089
AU,2013,Female,mean_inbreeding5,0.589108911
AU,2014,Male,mean_inbreeding1,0.148148148
AU,2014,Male,mean_inbreeding2,0.182336182
AU,2014,Male,mean_inbreeding3,0.310541311
AU,2014,Male,mean_inbreeding4,0.344729345
AU,2014,Male,mean_inbreeding5,0.655270655
AU,2014,Female,mean_inbreeding1,0.101941748
AU,2014,Female,mean_inbreeding2,0.121359223
AU,2014,Female,mean_inbreeding3,0.349514563
AU,2014,Female,mean_inbreeding4,0.368932039
AU,2014,Female,mean_inbreeding5,0.631067961
AU,2015,Male,mean_inbreeding1,0.157248157
AU,2015,Male,mean_inbreeding2,0.189189189
AU,2015,Male,mean_inbreeding3,0.312039312
AU,2015,Male,mean_inbreeding4,0.343980344
AU,2015,Male,mean_inbreeding5,0.656019656
AU,2015,Female,mean_inbreeding1,0.127413127
AU,2015,Female,mean_inbreeding2,0.177606178
AU,2015,Female,mean_inbreeding3,0.312741313
AU,2015,Female,mean_inbreeding4,0.362934363
AU,2015,Female,mean_inbreeding5,0.637065637
AU,2016,Male,mean_inbreeding1,0.111380145
AU,2016,Male,mean_inbreeding2,0.157384988
AU,2016,Male,mean_inbreeding3,0.329297821
AU,2016,Male,mean_inbreeding4,0.375302663
AU,2016,Male,mean_inbreeding5,0.624697337
AU,2016,Female,mean_inbreeding1,0.145985401
AU,2016,Female,mean_inbreeding2,0.197080292
AU,2016,Female,mean_inbreeding3,0.361313869
AU,2016,Female,mean_inbreeding4,0.412408759
AU,2016,Female,mean_inbreeding5,0.587591241
AU,2017,Male,mean_inbreeding1,0.160377358
AU,2017,Male,mean_inbreeding2,0.198113208
AU,2017,Male,mean_inbreeding3,0.382075472
AU,2017,Male,mean_inbreeding4,0.419811321
AU,2017,Male,mean_inbreeding5,0.580188679
AU,2017,Female,mean_inbreeding1,0.166666667
AU,2017,Female,mean_inbreeding2,0.194444444
AU,2017,Female,mean_inbreeding3,0.382716049
AU,2017,Female,mean_inbreeding4,0.410493827
AU,2017,Female,mean_inbreeding5,0.589506173
AU,2018,Male,mean_inbreeding1,0.153191489
AU,2018,Male,mean_inbreeding2,0.185106383
AU,2018,Male,mean_inbreeding3,0.389361702
AU,2018,Male,mean_inbreeding4,0.421276596
AU,2018,Male,mean_inbreeding5,0.578723404
AU,2018,Female,mean_inbreeding1,0.149700599
AU,2018,Female,mean_inbreeding2,0.179640719
AU,2018,Female,mean_inbreeding3,0.377245509
AU,2018,Female,mean_inbreeding4,0.407185629
AU,2018,Female,mean_inbreeding5,0.592814371
AU,2019,Male,mean_inbreeding1,0.140909091
AU,2019,Male,mean_inbreeding2,0.172727273
AU,2019,Male,mean_inbreeding3,0.365909091
AU,2019,Male,mean_inbreeding4,0.397727273
AU,2019,Male,mean_inbreeding5,0.602272727
AU,2019,Female,mean_inbreeding1,0.172307692
AU,2019,Female,mean_inbreeding2,0.2
AU,2019,Female,mean_inbreeding3,0.384615385
AU,2019,Female,mean_inbreeding4,0.412307692
AU,2019,Female,mean_inbreeding5,0.587692308
AU,2020,Male,mean_inbreeding1,0.145833333
AU,2020,Male,mean_inbreeding2,0.180555556
AU,2020,Male,mean_inbreeding3,0.364583333
AU,2020,Male,mean_inbreeding4,0.399305556
AU,2020,Male,mean_inbreeding5,0.600694444
AU,2020,Female,mean_inbreeding1,0.134259259
AU,2020,Female,mean_inbreeding2,0.171296296
AU,2020,Female,mean_inbreeding3,0.416666667
AU,2020,Female,mean_inbreeding4,0.453703704
AU,2020,Female,mean_inbreeding5,0.546296296
AU,2021,Male,mean_inbreeding1,0.186131387
AU,2021,Male,mean_inbreeding2,0.208029197
AU,2021,Male,mean_inbreeding3,0.419708029
AU,2021,Male,mean_inbreeding4,0.441605839
AU,2021,Male,mean_inbreeding5,0.558394161
AU,2021,Female,mean_inbreeding1,0.193069307
AU,2021,Female,mean_inbreeding2,0.217821782
AU,2021,Female,mean_inbreeding3,0.47029703
AU,2021,Female,mean_inbreeding4,0.495049505
AU,2021,Female,mean_inbreeding5,0.504950495
AU,2022,Male,mean_inbreeding1,0.124260355
AU,2022,Male,mean_inbreeding2,0.153846154
AU,2022,Male,mean_inbreeding3,0.372781065
AU,2022,Male,mean_inbreeding4,0.402366864
AU,2022,Male,mean_inbreeding5,0.597633136
AU,2022,Female,mean_inbreeding1,0.161290323
AU,2022,Female,mean_inbreeding2,0.193548387
AU,2022,Female,mean_inbreeding3,0.47311828
AU,2022,Female,mean_inbreeding4,0.505376344
AU,2022,Female,mean_inbreeding5,0.494623656
BR,1975,Male,mean_inbreeding1,0.285714286
BR,1975,Male,mean_inbreeding2,0.714285714
BR,1975,Male,mean_inbreeding3,0.285714286
BR,1975,Male,mean_inbreeding4,0.714285714
BR,1975,Male,mean_inbreeding5,0.285714286
BR,1975,Female,mean_inbreeding1,0.214285714
BR,1975,Female,mean_inbreeding2,0.357142857
BR,1975,Female,mean_inbreeding3,0.357142857
BR,1975,Female,mean_inbreeding4,0.5
BR,1975,Female,mean_inbreeding5,0.5
BR,1976,Male,mean_inbreeding1,0.117647059
BR,1976,Male,mean_inbreeding2,0.294117647
BR,1976,Male,mean_inbreeding3,0.176470588
BR,1976,Male,mean_inbreeding4,0.352941176
BR,1976,Male,mean_inbreeding5,0.647058824
BR,1976,Female,mean_inbreeding1,0.071428571
BR,1976,Female,mean_inbreeding2,0.214285714
BR,1976,Female,mean_inbreeding3,0.571428571
BR,1976,Female,mean_inbreeding4,0.714285714
BR,1976,Female,mean_inbreeding5,0.285714286
BR,1977,Male,mean_inbreeding1,0.125
BR,1977,Male,mean_inbreeding2,0.3125
BR,1977,Male,mean_inbreeding3,0.25
BR,1977,Male,mean_inbreeding4,0.4375
BR,1977,Male,mean_inbreeding5,0.5625
BR,1977,Female,mean_inbreeding1,0.380952381
BR,1977,Female,mean_inbreeding2,0.523809524
BR,1977,Female,mean_inbreeding3,0.428571429
BR,1977,Female,mean_inbreeding4,0.571428571
BR,1977,Female,mean_inbreeding5,0.428571429
BR,1978,Male,mean_inbreeding1,0.090909091
BR,1978,Male,mean_inbreeding2,0.181818182
BR,1978,Male,mean_inbreeding3,0.272727273
BR,1978,Male,mean_inbreeding4,0.363636364
BR,1978,Male,mean_inbreeding5,0.636363636
BR,1978,Female,mean_inbreeding1,0.055555556
BR,1978,Female,mean_inbreeding2,0.277777778
BR,1978,Female,mean_inbreeding3,0.166666667
BR,1978,Female,mean_inbreeding4,0.388888889
BR,1978,Female,mean_inbreeding5,0.611111111
BR,1979,Male,mean_inbreeding1,0
BR,1979,Male,mean_inbreeding2,0.173913043
BR,1979,Male,mean_inbreeding3,0.086956522
BR,1979,Male,mean_inbreeding4,0.260869565
BR,1979,Male,mean_inbreeding5,0.739130435
BR,1979,Female,mean_inbreeding1,0.05
BR,1979,Female,mean_inbreeding2,0.35
BR,1979,Female,mean_inbreeding3,0.15
BR,1979,Female,mean_inbreeding4,0.45
BR,1979,Female,mean_inbreeding5,0.55
BR,1980,Male,mean_inbreeding1,0.148148148
BR,1980,Male,mean_inbreeding2,0.333333333
BR,1980,Male,mean_inbreeding3,0.222222222
BR,1980,Male,mean_inbreeding4,0.407407407
BR,1980,Male,mean_inbreeding5,0.592592593
BR,1980,Female,mean_inbreeding1,0.133333333
BR,1980,Female,mean_inbreeding2,0.266666667
BR,1980,Female,mean_inbreeding3,0.333333333
BR,1980,Female,mean_inbreeding4,0.466666667
BR,1980,Female,mean_inbreeding5,0.533333333
BR,1981,Male,mean_inbreeding1,0.047619048
BR,1981,Male,mean_inbreeding2,0.142857143
BR,1981,Male,mean_inbreeding3,0.047619048
BR,1981,Male,mean_inbreeding4,0.142857143
BR,1981,Male,mean_inbreeding5,0.857142857
BR,1981,Female,mean_inbreeding1,0.1875
BR,1981,Female,mean_inbreeding2,0.5625
BR,1981,Female,mean_inbreeding3,0.1875
BR,1981,Female,mean_inbreeding4,0.5625
BR,1981,Female,mean_inbreeding5,0.4375
BR,1982,Male,mean_inbreeding1,0.04
BR,1982,Male,mean_inbreeding2,0.28
BR,1982,Male,mean_inbreeding3,0.16
BR,1982,Male,mean_inbreeding4,0.4
BR,1982,Male,mean_inbreeding5,0.6
BR,1982,Female,mean_inbreeding1,0.166666667
BR,1982,Female,mean_inbreeding2,0.333333333
BR,1982,Female,mean_inbreeding3,0.208333333
BR,1982,Female,mean_inbreeding4,0.375
BR,1982,Female,mean_inbreeding5,0.625
BR,1983,Male,mean_inbreeding1,0.066666667
BR,1983,Male,mean_inbreeding2,0.266666667
BR,1983,Male,mean_inbreeding3,0.1
BR,1983,Male,mean_inbreeding4,0.3
BR,1983,Male,mean_inbreeding5,0.7
BR,1983,Female,mean_inbreeding1,0.045454545
BR,1983,Female,mean_inbreeding2,0.181818182
BR,1983,Female,mean_inbreeding3,0.181818182
BR,1983,Female,mean_inbreeding4,0.318181818
BR,1983,Female,mean_inbreeding5,0.681818182
BR,1984,Male,mean_inbreeding1,0.035714286
