year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4,inbreeding5,country_w,w_ranking,w_subject2,ranking_category,branking,dranking,continent_b,continent_d,continent_w,first_work_pre_avg_publications,first_work_pre_avg_jif,work_bachelor_year,country_b,country_d,bsubject2,dsubject2,work_to_2022,start_year_facawork_oid_sum_afterwork,start_year_facawork_oid_jifsum_afterwork,first_work_pre_avg_publications_afterwork,first_work_pre_avg_jif_afterwork,gender_inbreeding1,gender_inbreeding2,gender_inbreeding3,gender_inbreeding4
1997,0,0,1,0,1,0,VE,2001,7,>2000,2001,NA,Latin America,North America,Latin America,NA,NA,0,VE,CA,7,4,25,21,25.9,0.84,1.036,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2022,1,0,0,0,0,1,US,342,7,0-500,1473,NA,Asia,Europe,North America,0.375,1.18125,16,IR,FI,8,4,0,0,0,NA,NA,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1998,1,0,0,1,1,0,PT,NA,1,>2000,429,NA,Europe,.,Europe,0,0,18,PT,"A?ores, PT",7,5,24,3,0,0.125,0,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2004,1,1,1,1,1,0,CO,2001,6,>2000,2001,2001,Latin America,Latin America,Latin America,0,0,9,CO,CO,6,6,18,9,0,0.5,0,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2017,0,0,0,0,0,1,US,10,7,0-500,1,1,North America,North America,North America,0,0,48,US,US,4,4,5,9,10.6,1.8,2.12,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2015,1,0,0,0,0,1,BR,1354,4,1000-1500,1438,497,Latin America,Latin America,Latin America,0.142857143,0,7,BR,BR,4,4,7,3,0,0.428571429,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2013,1,0,1,0,1,0,AR,426,7,0-500,426,1072,Latin America,Latin America,Latin America,0.25,0,4,AR,AR,3,4,9,32,17.3,3.555555556,1.922222222,Female Non-Inbred,Female Inbred,Female Non-Inbred,Female Inbred
2007,0,1,1,1,1,0,KR,NA,8,>2000,NA,NA,Asia,Asia,Asia,0,0,23,KR,KR,8,8,15,0,0,0,0,Male Inbred,Male Inbred,Male Inbred,Male Inbred
1984,0,0,0,0,0,1,US,1455,4,1000-1500,970,970,North America,North America,North America,0,0,24,US,US,4,4,38,4,3.7,0.105263158,0.097368421,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2013,0,0,0,0,0,1,DE,NA,3,>2000,NA,236,Europe,Europe,Europe,0,0,13,DE,GB,7,3,9,9,5.2,1,0.577777778,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
