author_id,author_gender,author_academic_age,field_id,field,domain_id,domain,orcid,last_institution_id,last_institution_name,last_institution_country,last_institution_type,degree_institution_name,degree_institution_id,degree_institution_country,degree_institution_type,last_degree,graduate_year,degree_rank_type,us_top_degree_inst100,last_flow_year,institution_name,QS_2025,USNews_2025,THE_2025,ARWU_2024,rank_mean,is_inbred,rank_type
5003080922,Male,28,19,Earth and Planetary Sciences,3,Physical Sciences,0000-0001-8927-8487,99682543,University of Minho,PT,education,University of Minho,99682543,PT,education,phd,1997,3,0,2000,University of Minho,611,610,665,596,620.5,1,3
5026996875,Female,38,17,Computer Science,3,Physical Sciences,0000-0001-8425-8743,170201317,University of Pittsburgh,US,education,University of Arizona,138006243,US,education,phd,2002,1,0,2006,University of Pittsburgh,275,50,141,90,139,0,1
5065216615,Female,19,24,Immunology and Microbiology,1,Life Sciences,0000-0002-0850-7821,59130452,University of Nebraska Medical Center,US,healthcare,"University of Maryland, Baltimore County",79272384,US,education,phd,2007,3,0,2010,University of Nebraska Medical Center,,,559,963,761,0,3
5083144378,Male,50,33,Social Sciences,2,Social Sciences,0000-0002-8938-8974,168635309,University of Calgary,CA,education,Australian National University,118347636,AU,education,phd,2008,3,0,2024,University of Calgary,198,206,225,172,200.25,0,2
5057770476,Male,22,33,Social Sciences,2,Social Sciences,0000-0001-7879-4531,201448701,University of Washington,US,education,University of Washington,201448701,US,education,phd,2008,2,0,2009,University of Washington,76,7,25,18,31.5,1,1
5057439371,Male,38,33,Social Sciences,2,Social Sciences,0000-0003-1047-1466,169541294,Flinders University,AU,education,La Trobe University,196829312,AU,education,phd,1986,3,0,2022,Flinders University,336,421,307,446,377.5,0,2
5021050589,Male,45,19,Earth and Planetary Sciences,3,Physical Sciences,0000-0001-6897-8142,204824540,University of Wollongong,AU,education,University of Wollongong,204824540,AU,education,phd,2015,3,0,2016,University of Wollongong,167,204,207,368,236.5,1,2
5086962225,Female,14,33,Social Sciences,2,Social Sciences,0000-0002-9701-9925,11701301,Griffith University,AU,education,University of South Australia,170239107,AU,education,phd,2015,3,0,2017,Griffith University,255,239,329,296,279.75,0,2
5078508282,Male,48,32,Psychology,2,Social Sciences,0000-0002-1232-3152,7882870,University of Glasgow,GB,education,"University of California, San Diego",36258959,US,education,phd,1981,1,0,2015,University of Glasgow,78,61,87,136,90.5,0,1
5016315238,Male,25,20,"Economics, Econometrics and Finance",2,Social Sciences,0000-0002-2141-6561,47508984,Imperial College London,GB,education,University of Geneva,114457229,CH,education,phd,2001,3,0,2016,Imperial College London,2,12,9,25,12,0,1
5053074581,Male,23,17,Computer Science,3,Physical Sciences,0000-0001-7446-2839,11701301,Griffith University,AU,education,Deakin University,149704539,AU,education,phd,2005,3,0,2019,Griffith University,255,239,304,252,262.5,0,2
5091600688,Male,52,32,Psychology,2,Social Sciences,0000-0001-8049-8504,161593684,Stockholm University,SE,education,Karolinska Institutet,28166907,SE,education,phd,1979,3,0,1990,Stockholm University,128,153,191,116,147,0,1
5003706681,Male,30,14,"Business, Management and Accounting",2,Social Sciences,0000-0003-0541-0618,178169726,Southern Methodist University,US,education,Southern Methodist University,178169726,US,education,phd,1999,3,0,2000,Southern Methodist University,1001,865,,731,865.6666667,1,3
5040454197,Male,27,11,Agricultural and Biological Sciences,1,Life Sciences,0000-0001-5208-1875,74775410,Rice University,US,education,Vanderbilt University,200719446,US,education,phd,2010,1,0,2013,Rice University,141,223,112,148,156,0,1
5014199018,Male,39,22,Engineering,3,Physical Sciences,0000-0002-4117-7692,859038795,Virginia Tech,US,education,Virginia Tech,859038795,US,education,phd,1991,2,0,2015,Virginia Polytechnic Institute and State University,389,278,251,238,289,1,2
5032317157,Female,41,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0002-7074-4051,241749,University of Cambridge,GB,education,University of Wisconsin–Madison,135310074,US,education,phd,1991,1,0,1996,University of Cambridge,5,6,5,4,5,0,1
5012752772,Male,48,33,Social Sciences,2,Social Sciences,0000-0003-0424-3088,13134134,Universidad de Cantabria,ES,education,University of Chile,69737025,CL,education,phd,2005,3,0,2006,Universidad de Cantabria,,713,,964,838.5,0,3
5083557120,Male,21,27,Medicine,4,Health Sciences,0000-0001-9325-2909,161318765,"University of California, Los Angeles",US,education,Johns Hopkins University,145311948,US,education,phd,2009,1,0,2011,"University of California, Los Angeles",42,11,18,15,21.5,0,1
5087650169,Female,26,33,Social Sciences,2,Social Sciences,0000-0002-0381-6924,20581793,University of Kent,GB,education,Australian National University,118347636,AU,education,phd,2000,3,0,2008,University of Kent,380,577,371,445,443.25,0,2
5069725782,Male,25,33,Social Sciences,2,Social Sciences,0000-0003-1542-1716,20581793,University of Kent,GB,education,Massey University,51158804,NZ,education,phd,2000,3,0,2007,University of Kent,380,577,377,500,458.5,0,2
